FRONTAL XT1058 LENTE E DISPLAY MOTO X BLACK;Telefonia;None;Sem Marca;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Bateria interna-EB-BG313CBE, 1500MAH, GH43-04288A;Telefonia;None;Sem Marca;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
JACK-DC POWER;3P,5.6PI,AUF,BLK - 3722-002997;Telefonia;None;Sem Marca;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Pelicula De Vidro Temperado Nokia Lumia 830;Telefonia;None;Nokia;None;GILSON PEREIRA TURIANI
TELA DE PLASTICO SENSIVEL AO TOQUE, SEM (GH96-07071A);Telefonia;None;Sem Marca;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Capa de Couro para Ipad 6 - Preta;Telefonia;None;Sem Marca;None;MATECKI COMERCIO EM TELEFONIA E INFORMATICA LTDA - ME
Capa de Couro Samsung Galaxy Tab 4 10.1 SM-T530 com Rotação 360 Graus - Preta;Telefonia;None;Samsung;None;MATECKI COMERCIO EM TELEFONIA E INFORMATICA LTDA - ME
Carregador Portatil USB CP-VLB 1400MAH Preto SONY;Telefonia;None;Sony;None;SHOP63 COM. DE PECAS E ACESS AUT.LTDA - ME
Pelicula De Vidro Temperado Microsoft Lumia 640;Telefonia;None;Microsoft;None;GOFJ IMPORTACOES LTDA - ME
Película de vidro temperado Moto X 2ª Geração;Telefonia;None;Sem Marca;None;GILSON PEREIRA TURIANI
Smartphone Samsung Galaxy S6 Edge 32GB Desbloqueado Preto;Telefonia;None;EDGE;None;SATELITAL BRASIL COMERCIO LTDA
Smartphone Moto E 2ª Geração com 4G 8GB Desbloqueado Preto;Telefonia;None;Sem Marca;None;ELETRONICA COLORSOM LTDA - EPP
TOUCH SCREEN SAMSUNG S6812 GALAXY FAME BRANCO ORIGINAL (GH59-13293A);Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
TOUCH SCREEN SAMSUNG S6812 GALAXY FAME AZUL ORIGINAL(GH59-13293B);Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
TOUCH SCREEN SANSUNG S7270/S7272/S7273/S7275 S2 DUOS TV PRETO (GH59-13361A);Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
TOUCHSCREEN Branco GT-S6802B GALAXY ACE DUOS - GH59-12322B;Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
TOUCH SM-G313 PRETO - GH96-07409A;Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
TOUCHSCREEN Preto para Celular Samsung GT-S7500L GALAXY Ace Plus (GH59-11627A);Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
TOUCHSCREEN para Celular Samsung GT-I5500B Galaxy 5 (GH59-09820A);Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
TouchScreen Branco Samsung GT-S7392L GALAXY TREND LITE DUOS (GH96-06644D);Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Smartphone Samsung Galaxy Gran Prime Duos Sm-G531b 5 8gb Android 4-4 8mp Tv Quad Core Dourado;Telefonia;None;Samsung;None;FATIMA APARECIDA DE LIMA CABRAL KIKA
Touchscreen preto Samsung GT-S5250 (GH59-09672A);Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
TOUCHSCREEN Preto Samsung GT-S6802B GALAXY ACE DUOS - GH59-12322A;Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
TouchScreen Preto Samsung GT-S7392L GALAXY TREND LITE DUOS (GH96-06644B);Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Touchscreen Preto Samsung GT-S5283B STAR TRIOS (GH59-13597A);Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Smartphone Samsung Galaxy Gran Prime Duos Sm-G531b 5 8gb Android 4-4 8mp Tv Quad Core Cinza;Telefonia;None;Samsung;None;FATIMA APARECIDA DE LIMA CABRAL KIKA
XT102X, FRONTAL BRANCA MOTO E;Telefonia;None;Sem Marca;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Smartphone Samsung Galaxy Gran Prime Duos G531H/DL Desbloqueado Tela 5" 3G Dual Chip Branco ;Telefonia;None;Samsung;None;MEGAMAMUTE COMERCIO ON LINE DE ELETRONICOS E INFORMATICA LTDA
TOUCH SCREEN SAMSUNG S5312 PRETO (GH59-13116B);Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Tela Celular Samsung GT-S6792 BRANCO (GH59-13776A);Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Tela Touch S5300 Branco (GH59-12144B);Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Celular Multilaser Dual Chip TV - Multilaser P3266;Telefonia;None;Multilaser;None;TECNOM COMERCIO VIRTUAL LTDA. - ME
Capa Personalizada Exclusiva Sony Xperia Z3 Compact Mini D5803 D5833 - RE02;Telefonia;None;Sony;None;MATECKI COMERCIO EM TELEFONIA E INFORMATICA LTDA - ME
Película de Vidro Temperado Motorola Moto X Play XT1563;Telefonia;None;Motorola;None;MATECKI COMERCIO EM TELEFONIA E INFORMATICA LTDA - ME
Capa Para Iphone 5C Feather - Incipio - rosa;Telefonia;None;Apple;None;REMAR COMERCIO IMPORTACAO EXPORTACAO E PRESTACAO DE SERVICOS DE INFORMATICA LTDA
Placa Linha Branca Samsung (DC92-00665A);Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Telefone c/ Fio Pleno - Intelbrás Grafite;Telefonia;None;Intelbras;None;FLEX COMPANY INFORMATICA LTDA - ME
CELULAR SMARTPHONE BLU STUDIO 5.0 CE branco + CARTÃO DE MEMÓRIA + PELÍCULA + POWERBANK;Telefonia;None;Blu;None;BEL MICRO COMPUTADORES LTDA
Smartphone Livre LG G2 Lite - D295f - Câmera 8 MP Dual Sim Desbloqueado, Dual Sim;Telefonia;None;LG;None;SOLIDARIUM MERCADO DE ARTESANATO E SERVICOS DIGITAIS LTDA
Smartphone LG Leon 4G, Dual Chip, Tela de 4.5 Pol. Desbloqueado - H342FT;Telefonia;None;LG;None;SOLIDARIUM MERCADO DE ARTESANATO E SERVICOS DIGITAIS LTDA
TELEFONE S/ FIO DECT FOX 500 MOTOROLA - AXT TELECOMUNICAÇÕES LTDA;Telefonia;None;Dect;None;O & M IMPORTACAO E COMERCIO DE INFORMATICA E ACESSORIOS LTDA - ME
Smartphone Samsung Galaxy A-300M 4G Dual Chip Câmera 8MP - A300MZKQZTO - Preto;Telefonia;None;Samsung;None;GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS LTDA
Smartphone Positivo S380 Dual Desbloqueado Preto;Telefonia;None;Positivo;None;O & M IMPORTACAO E COMERCIO DE INFORMATICA E ACESSORIOS LTDA - ME
Galaxy J7 Duos Branco;Telefonia;None;Samsung;None;FATIMA APARECIDA DE LIMA CABRAL KIKA
Smartphone LG Volt TV Dual com Tela 4.7 Polegadas Câmera 8MP Memória 8GB - H-422 - Dourado;Telefonia;None;LG;None;GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS LTDA
Película de vidro Xperia Z2;Telefonia;None;Sem Marca;None;GILSON PEREIRA TURIANI
TELA CELULAR SAMSUNG GT-S5301 BRANCO (GH59-12661B);Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Smartphone LG G3 D855 sem carregador Wireless Desbloqueado Titânio;Telefonia;None;LG;None;MAGAMOBI E-BUSINESS S/A
Tela Samsung G313 touch Branco (GH96-07242B);Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Smartphone Lg G4 Dual LGH818P.Abrabd ,Android 5.1 Lollipop Wi-Fi 3G 16MP ,8MP Frontal-Dourado ;Telefonia;None;LG;None;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA
Smartphone Sony Xperia Z3+ Dual Dual Chip,Android 5.0 5.2",32GB,4G 20.7MP - Branco;Telefonia;None;Sony;None;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA
Samsung Galaxy S6 Edge Plus 32GB 4G - Android 5.1 Câm.16MP Tela 5.7" Proc. Octa Core-Dourado;Telefonia;None;EDGE;None;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA
Smartphone Samsung Galaxy S6 Edge 32GB 4G,Tela 5.7" Processador Octa Core Câmera 16MP-Preto ;Telefonia;None;EDGE;None;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA
Smartphone Sony Xperia M4 Aqua Dual,Prova D'água* 16GB, 5",Dual Chip, 4G,Câm13MP,Octa-Core- Preto ;Telefonia;None;Sony;None;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA
Smartphone Motorola Moto G 3ª Geração XT1543 Special Edition Desbloqueado Branco/Cabernet;Telefonia;None;Motorola;None;MAGAMOBI E-BUSINESS S/A
Smartphone Motorola Moto G 3ª Geração XT1543 Special Edition Desbloqueado Preto/Cabernet;Telefonia;None;Motorola;None;MAGAMOBI E-BUSINESS S/A
Smartphone Motorola Moto G 3ª Geração XT1544 Colors HDTV Dual Desbloqueado Preto;Telefonia;None;Motorola;None;MAGAMOBI E-BUSINESS S/A
Smartphone Motorola Moto G 3ª Geração XT1543 Colors Dual 16GB Desbloqueado Branco;Telefonia;None;Motorola;None;MAGAMOBI E-BUSINESS S/A
Samsung Smartphone  Galaxy J5 Duos Dual Chip 16GB - 4G Android 5.1 Câm. 13MP Tela 5" Proc. Quad Core;Telefonia;None;Samsung;None;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA
Smartphone Sony Xperia M4 ,5", Aqua Dual Android 5.0 , Memória 16GB Câmera 13MP Branco;Telefonia;None;Sony;None;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA
Smartphone Motorola Moto G 3ª Geração XT1543 Colors Dual 16GB Desbloqueado Preto;Telefonia;None;Motorola;None;MAGAMOBI E-BUSINESS S/A
Smartphone Motorola Moto G 3ª Geração XT1543 Special Edition Desbloqueado Preto/Azul Navy;Telefonia;None;Motorola;None;MAGAMOBI E-BUSINESS S/A
Smartphone Lg G4 Stylus LGH630.Abratn Titânio 4G Tela 5.7"  Dual Chip Android 5.0 Lollipop Wi-Fi ;Telefonia;None;LG;None;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA
Smartphone Sony Xperia Z3+ Dual Chip Android 5.0 5.2" 32GB 4G 20.7MP - Preto;Telefonia;None;Sony;None;TECNO INDUSTRIA E COMERCIO DE COMPUTADORES LTDA
Smartphone Motorola Moto G 3ª Geração XT1543 Special Edition Desbloqueado Branco/Pink;Telefonia;None;Motorola;None;MAGAMOBI E-BUSINESS S/A
Smartphone Motorola Moto G Brasil XT1033 Desbloqueado Preto;Telefonia;None;Motorola;None;MAGAMOBI E-BUSINESS S/A
Smartphone Asus Zenfone 2 4GB/16GB Desbloqueado Vermelho;Telefonia;None;Asus;None;MAGAMOBI E-BUSINESS S/A
Película De Vidro Samsung Galaxy E5 - Frete Grátis;Telefonia;None;Samsung;None;GILSON PEREIRA TURIANI
Smartphone Samsung Galaxy GRAN Prime Duos G531H Android 5.1 Tela 5´´ 8GB 3G WI-FI Camera 8MP Cinza;Telefonia;None;Samsung;None;Starhouse Informatica Ltda EPP
Smartphone Asus ZenFone 2 32GB Dual Desbloqueado Prata;Telefonia;None;Asus;None;MAGAMOBI E-BUSINESS S/A
Smartphone Asus ZenFone 2 32GB Dual Desbloqueado Dourado;Telefonia;None;Asus;None;MAGAMOBI E-BUSINESS S/A
Telefone decorativo com fio em formato de Sapato ;Telefonia;None;Formato;None;FOCA LOUCA ELETRONICO LTDA - ME
Carregador Portátil Power Bank Usb CB069 Multilaser;Telefonia;None;Multilaser;None;SIMSEN & BOROSKE LTDA.
Telefone Sem Fio Dect 6.0 Com Identificador De Chamadas, Agenda TelefÔNica E Viva Voz TS6120 Intelb;Telefonia;None;Dect;None;DREAM BOX COMERCIAL LTDA ME
Telefone s/ Fio Dect 6.0 c/ Viva-Voz, Capacidade 5 Ramais e Babá Eletrônica TS80V Preto - Intelbras;Telefonia;None;Dect;None;DREAM BOX COMERCIAL LTDA ME
Capa Flexível Samsung Galaxy SII Preto BO311 Multilaser;Telefonia;None;Samsung;None;SIMSEN & BOROSKE LTDA.
Capa Suporte Para Iphone 4 e 4S Preto BO324 Multilaser;Telefonia;None;Apple;None;SIMSEN & BOROSKE LTDA.
Capa Flexível Para iPhone 4 e 4S Rosa BO310 Multilaser;Telefonia;None;Apple;None;SIMSEN & BOROSKE LTDA.
Capa Suporte Para Iphone 4 e 4S Preto BO324 Multilaser;Telefonia;None;Apple;None;SIMSEN & BOROSKE LTDA.
Capa Suporte Para Iphone 5 Preto e Prata BO327 Multilaser;Telefonia;None;Apple;None;SIMSEN & BOROSKE LTDA.
Capa Suporte Samsung Galaxy SIII Branco BO316 Multilaser;Telefonia;None;Samsung;None;SIMSEN & BOROSKE LTDA.
Capa Suporte Para Iphone 4 e 4S Rosa BO326 Multilaser;Telefonia;None;Apple;None;SIMSEN & BOROSKE LTDA.
Capa Flexível Samsung Galaxy SIII Preto BO312 Multilaser;Telefonia;None;Samsung;None;SIMSEN & BOROSKE LTDA.
Película de LCD para Samsung Galaxy S3 BO332 Multilaser;Telefonia;None;Samsung;None;SIMSEN & BOROSKE LTDA.
Telefone s/ Fio Dect 6.0 c/ Viva-Voz, Capacidade 5 Ramais e função babá eletronica - TS80V Branco -;Telefonia;None;Dect;None;DREAM BOX COMERCIAL LTDA ME
Smartphone Motorola Moto G 3ª Geração XT1544 Colors HDTV Dual Desbloqueado Branco;Telefonia;None;Motorola;None;MAGAMOBI E-BUSINESS S/A
Smartphone Samsung Galaxy Win 2 Duos TV G360BT/DS Desbloqueado Tela 4,5" 4G Dual Chip Cinza ;Telefonia;None;Samsung;None;MEGAMAMUTE COMERCIO ON LINE DE ELETRONICOS E INFORMATICA LTDA
Case Com Bateria 2200 Mah Para Iphone 4 Preto BO347 Multilaser;Telefonia;None;Apple;None;SIMSEN & BOROSKE LTDA.
Smartphone Microsoft Lumia 532 DTV Desbloqueado Tela 4" 3G Dual Chip TV Digital Branco ;Telefonia;None;Microsoft;None;MEGAMAMUTE COMERCIO ON LINE DE ELETRONICOS E INFORMATICA LTDA
Smartphone Samsung Galaxy Young 2 Duos SM-G130BU/DS 4GB;Telefonia;None;Samsung;None;SOLIDARIUM MERCADO DE ARTESANATO E SERVICOS DIGITAIS LTDA
Pelicula De Vidro Temperado Microsoft Lumia 640 Xl;Telefonia;None;Microsoft;None;GILSON PEREIRA TURIANI
Telefone Com Fio TC8312 Vermelho;Telefonia;None;Sem Marca;None;DREAM BOX COMERCIAL LTDA ME
Telefone Com Fio TC8312 Preto;Telefonia;None;Sem Marca;None;DREAM BOX COMERCIAL LTDA ME
Telefone Com Fio TC8312 Branco;Telefonia;None;Sem Marca;None;DREAM BOX COMERCIAL LTDA ME
Telefone Sem Fio Dect 6.0 TS63V Preto;Telefonia;None;Dect;None;DREAM BOX COMERCIAL LTDA ME
Cartão de Memória Micro SD 32GB com Adaptador MC111 Multilaser;Telefonia;None;Multilaser;None;SIMSEN & BOROSKE LTDA.
Smartphone Sony Xperia M4 Aqua Dual Desbloqueado Tela 5" 4G Dual Chip Android 5.0 Prata ;Telefonia;None;Sony;None;MEGAMAMUTE COMERCIO ON LINE DE ELETRONICOS E INFORMATICA LTDA
Smartphone BLU Dash Jr D140 Dual Chip Desbloqueado Branco;Telefonia;None;Blu;None;MAGAMOBI E-BUSINESS S/A
Celular Up MP3/4 FM + Cï¿½mera - Multilaser P3274;Telefonia;None;Multilaser;None;TECNOM COMERCIO VIRTUAL LTDA. - ME
Suporte Veicular De Volante Para Celular, Smartphone, Iphone, Gps;Telefonia;None;Sem Marca;None;AMANA COMERCIO E SERVICO LTDA-ME
Película Protetora Transparente iPhone 5 BO331 Multilaser;Telefonia;None;Apple;None;SIMSEN & BOROSKE LTDA.
Capa Suporte Para Iphone 4 e 4S Branco BO325 Multilaser;Telefonia;None;Apple;None;SIMSEN & BOROSKE LTDA.
Smartphone Alcatel One Touch Pixi3 4013K Desbloqueado Tela 4" Dual Chip Android 4.4 Preto  ;Telefonia;None;Touch;None;MEGAMAMUTE COMERCIO ON LINE DE ELETRONICOS E INFORMATICA LTDA
Película de vidro temperado para Asus ZenFone 2 - Frete grátis;Telefonia;None;Asus;None;GILSON PEREIRA TURIANI
FRONTAL TOUCH SCREEN LCD SAM I9300 S3 BRANCO;Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Carregador ETA0U80BBB - 5V 1,0A (GH44-02551A);Telefonia;None;Sem Marca;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Iphone 6 Dourado 16Gb-BR;Telefonia;None;Apple;None;FATIMA APARECIDA DE LIMA CABRAL KIKA
Smartphone LG Prime Plus Tv Digital Tela 5.0 Câmera 8MP Memória 8GB - H502 - Dourado;Telefonia;None;LG;None;GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS LTDA
Carregador Portátil Tp-Link TL-PB10400 Powerbank Portátil de 10400mah com 2 portas USB;Telefonia;None;TP-LINK;None;MATRON INFORMATICA LTDA - ME
Capa Suporte Para Iphone 4 e 4S Branco BO325 Multilaser;Telefonia;None;Apple;None;SIMSEN & BOROSKE LTDA.
Smartphone Samsung Galaxy J1 Ace Duos SM-J110L Desbloqueado Tela 4,3" 3G Dual Chip Preto ;Telefonia;None;Samsung;None;MEGAMAMUTE COMERCIO ON LINE DE ELETRONICOS E INFORMATICA LTDA
Telefone sem fio digital com display luminoso;Telefonia;None;Sem Marca;None;DREAM BOX COMERCIAL LTDA ME
Smartphone Positivo X800 Dual Chip Android 4.4 Tela 5` 8GB 3G Wi-Fi Câmera 13MP Preto;Telefonia;None;Positivo;None;TANTRIX  INDUSTRIA E COMERCIO DE ELRTONICOS
Smartphone LG L20 D105f Dual Chip, Android 4.4, Dual Core 1.0GHz, Câmera 2MP, 4GB.;Telefonia;None;LG;None;SOLIDARIUM MERCADO DE ARTESANATO E SERVICOS DIGITAIS LTDA
Smartphone LG L20 D105f Dual Chip, Android 4.4, Dual Core 1.0GHz, Câmera 2MP, 4GB.;Telefonia;None;LG;None;SOLIDARIUM MERCADO DE ARTESANATO E SERVICOS DIGITAIS LTDA
Smartphone Samsung Galaxy S6 Edge Plus 32GB Dourado;Telefonia;None;EDGE;None;Mixtel Distribuidora LTDA
Smartphone Samsung Galaxy Gran Prime Duos G531H/DL Desbloqueado Tela 5" 3G Dual Chip Cinza ;Telefonia;None;Samsung;None;MEGAMAMUTE COMERCIO ON LINE DE ELETRONICOS E INFORMATICA LTDA
Smartphone Samsung Galaxy Gran Prime Duos G531H/DL Desbloqueado Tela 5" 3G Dual Chip Dourado ;Telefonia;None;Samsung;None;MEGAMAMUTE COMERCIO ON LINE DE ELETRONICOS E INFORMATICA LTDA
iPhone 6 Silver MG3C2BZ/A IOS, 8MP, 4.7", Wifi, 16GB, 4G - Apple;Telefonia;None;Apple;None;HOUTER DO BRASIL LTDA
iPhone 6 Space Gray MG3A2BZ/A IOS, 8MP, 4.7", Wifi, 16GB, 4G - Apple;Telefonia;None;Apple;None;HOUTER DO BRASIL LTDA
Smartphone MSX Preto Android 4.4 Tela 5 Pol P3304 Multilaser;Telefonia;None;Multilaser;None;SIMSEN & BOROSKE LTDA.
Smartphone Samsung Galaxy S6 Edge Plus 32GB Preto;Telefonia;None;EDGE;None;Mixtel Distribuidora LTDA
Telefone sem Fio Intelbras Dect 6.0 Ghz com Ramal TS40C 4070341 - Preto;Telefonia;None;Dect;None;GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS LTDA
Capa para iPhone 5/5s Ultra Slim com Suporte de Cartão Preto - Ozaki - Preto;Telefonia;None;Ozaki;None;REMAR COMERCIO IMPORTACAO EXPORTACAO E PRESTACAO DE SERVICOS DE INFORMATICA LTDA
Smartphone LG D157 L35 Dual Chip Câmera 3MP Tela 3.2" WI-FI 3G TV Android 4.4 Branco;Telefonia;None;LG;None;HOUTER DO BRASIL LTDA
Telefone s/ Fio Dect 6.0 c/ Viva-Voz, Capacidade 5 Ramais e Babá Eletrônica TS80V Coral - Intelbras;Telefonia;None;Dect;None;DREAM BOX COMERCIAL LTDA ME
Smartphone LG Prime Plus Tv Digital Tela 5.0 Câmera 8MP Memória 8GB - H502 - Branco;Telefonia;None;LG;None;GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS LTDA
Celular Blu Jenny II T177;Telefonia;None;Blu;None;SOLIDARIUM MERCADO DE ARTESANATO E SERVICOS DIGITAIS LTDA
Smartphone MSX Branco Android 4.4 Tela 5 Pol P3305 Multilaser;Telefonia;None;Multilaser;None;SIMSEN & BOROSKE LTDA.
Smartphone LG Joy, Dual Chip, Tv Digital, Memória 4 GB, Wi-Fi e 3G - H222tTV;Telefonia;None;LG;None;SOLIDARIUM MERCADO DE ARTESANATO E SERVICOS DIGITAIS LTDA
Tela Samsung G313 touch Preto (GH96-07242A);Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Celular Max II Quadri Chip Desbloqueado P3271 Multilaser;Telefonia;None;Multilaser;None;SIMSEN & BOROSKE LTDA.
TOUCH SCREEN SAMSUNG I9082 GRAND DUOS AZUL ORIGINAL(GH59-12943B);Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Telefone Sem Fio Preto Philips D1201B/BR com Identificador de Chamadas;Telefonia;None;Philips;None;BAZAR DAS CAMERAS ELETRONICAS LTDA -ME
Capa Carregadora com Bateria para Samsung Galaxy S5 Case Carregador Celular Power Case - MLS8 BO362;Telefonia;None;Samsung;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Capa para iPhone 5/5s Ultra Slim com Suporte de Cartão Red - Ozaki - vermelho;Telefonia;None;Ozaki;None;REMAR COMERCIO IMPORTACAO EXPORTACAO E PRESTACAO DE SERVICOS DE INFORMATICA LTDA
Tela Touch S5300 Preto (GH59-12144A);Telefonia;None;Touch;None;ALPHABOX COMERCIO E SERVICOS EIRELI - ME
Smartphone Asus ZenFone 5 A501 16GB 1.6 Desbloqueado Dourado;Telefonia;None;Asus;None;MAGAMOBI E-BUSINESS S/A
Smartphone Microsoft Lumia 640 XL Dual Desbloqueado Azul;Telefonia;None;Microsoft;None;MAGAMOBI E-BUSINESS S/A
Celular BLU Tank II Dual, Memória, Câmera VGA com flash, Tela 2.4¿ - T193 - Rosa;Telefonia;None;Blu;None;SOARES & SALVADOR COMERCIO DE ELETRODOMESTICOS LTDA - ME
Telefone Sem Fio Preto Philips D1501B/BR;Telefonia;None;Philips;None;SATELITAL BRASIL COMERCIO LTDA
Smartphone Asus Zenfone 2 16GB Preto;Telefonia;None;Asus;None;WEBFONES COMERCIO DE ARTIGOS DE TELEFONIA S.A.
Smartphone Asus Zenfone 2 16GB Prata;Telefonia;None;Asus;None;WEBFONES COMERCIO DE ARTIGOS DE TELEFONIA S.A.
Smartphone Asus Zenfone 2 16GB Vermelho;Telefonia;None;Asus;None;WEBFONES COMERCIO DE ARTIGOS DE TELEFONIA S.A.
Celular Nokia Lumia 530 Dual Branco Webfones;Telefonia;None;Nokia;None;WEBFONES COMERCIO DE ARTIGOS DE TELEFONIA S.A.
Smartphone Asus Zenfone 2 16GB Gold;Telefonia;None;Asus;None;WEBFONES COMERCIO DE ARTIGOS DE TELEFONIA S.A.
Smartphone Zenfone Go 16 GB - Preto;Telefonia;None;Sem Marca;None;WEBFONES COMERCIO DE ARTIGOS DE TELEFONIA S.A.
Película de Vidro Temperado - Motorola Moto G2;Telefonia;None;Motorola;None;SOLIDARIUM MERCADO DE ARTESANATO E SERVICOS DIGITAIS LTDA
Smartphone Microsoft Lumia 435 Dual Chip Desbloqueado Windows Phone 8-1 Tela 4 8GB 3G Branco;Telefonia;None;Microsoft;None;ZOO VAREJO DIGITAL LTDA
Smartphone Microsoft Lumia 435 Dual Chip Desbloqueado Windows Phone 8-1 Tela 4 8GB 3G Preto;Telefonia;None;Microsoft;None;ZOO VAREJO DIGITAL LTDA
Smartphone Microsoft Lumia 435 Dual Chip Desbloqueado Windows Phone 8-1 Tela 4 8GB 3G Laranja;Telefonia;None;Microsoft;None;ZOO VAREJO DIGITAL LTDA
Smartphone Microsoft Lumia 435 Dual Chip Desbloqueado Windows Phone 8-1 Tela 4 8GB 3G Preto;Telefonia;None;Microsoft;None;ZOO VAREJO DIGITAL LTDA
Smartphone Asus Zenfone 2 16GB Gold;Telefonia;None;Asus;None;WEBFONES COMERCIO DE ARTIGOS DE TELEFONIA S.A.
Pélicula de Vidro Temperado - Samsung Gran Prime G530;Telefonia;None;Samsung;None;SOLIDARIUM MERCADO DE ARTESANATO E SERVICOS DIGITAIS LTDA
Smartphone Microsoft Lumia 435 Dual Chip Desbloqueado Windows Phone 8-1 Tela 4 8GB 3G Laranja;Telefonia;None;Microsoft;None;ZOO VAREJO DIGITAL LTDA
Smartphone Microsoft Lumia 435 Dual Chip Desbloqueado Windows Phone 8-1 Tela 4 8GB 3G Branco;Telefonia;None;Microsoft;None;ZOO VAREJO DIGITAL LTDA
